PROJECT,TESTCASE,CLASS,FALHA 1,FALHA 2,FALHA 3,FALHA 4,FALHA 5,FALHA 6,FALHA 7,FALHA 8,FALHA 9,FALHA 10,FALHA 11,FALHA 12,FALHA 13,FALHA 14,FALHA 15,FALHA 16,FALHA 17,FALHA 18,FALHA 19,FALHA 20,FALHA 21,FALHA 22,FALHA 23,FALHA 24,FALHA 25,FALHA 26,FALHA 27,FALHA 28,FALHA 29,FALHA 30,FALHA 31,FALHA 32,FALHA 33,FALHA 34,FALHA 35,FALHA 36,FALHA 37,FALHA 38,FALHA 39,FALHA 40,FALHA 41,FALHA 42,FALHA 43,FALHA 44,FALHA 45,FALHA 46,FALHA 47,FALHA 48,FALHA 49,FALHA 50,FALHA 51,FALHA 52,FALHA 53,FALHA 54,FALHA 55,FALHA 56,FALHA 57,FALHA 58,FALHA 59,FALHA 60,FALHA 61,FALHA 62,FALHA 63,FALHA 64,FALHA 65,FALHA 66,FALHA 67,FALHA 68,FALHA 69,FALHA 70,FALHA 71,FALHA 72,FALHA 73,FALHA 74,FALHA 75,FALHA 76,FALHA 77,FALHA 78,FALHA 79,FALHA 80,FALHA 81,FALHA 82,FALHA 83,FALHA 84,FALHA 85,FALHA 86,FALHA 87,FALHA 88,FALHA 89,FALHA 90,FALHA 91,FALHA 92,FALHA 93,FALHA 94,FALHA 95,FALHA 96,FALHA 97,FALHA 98,FALHA 99,FALHA 100,FALHA 101,FALHA 102,FALHA 103,FALHA 104,FALHA 105,FALHA 106,FALHA 107,FALHA 108,FALHA 109,FALHA 110,FALHA 111,FALHA 112,FALHA 113,FALHA 114,FALHA 115,FALHA 116,FALHA 117,FALHA 118,FALHA 119,FALHA 120,FALHA 121,FALHA 122,FALHA 123,FALHA 124,FALHA 125,FALHA 126,FALHA 127,FALHA 128,FALHA 129,FALHA 130,FALHA 131,FALHA 132,FALHA 133,FALHA 134,FALHA 135,FALHA 136,FALHA 137,FALHA 138,FALHA 139,FALHA 140,FALHA 141,FALHA 142,FALHA 143,FALHA 144,FALHA 145,FALHA 146,FALHA 147,FALHA 148,FALHA 149,FALHA 150,FALHA 151,FALHA 152,FALHA 153,FALHA 154,FALHA 155,FALHA 156,FALHA 157,FALHA 158,FALHA 159,FALHA 160,FALHA 161,FALHA 162,FALHA 163,FALHA 164,FALHA 165,FALHA 166,FALHA 167,FALHA 168,FALHA 169,FALHA 170,FALHA 171,FALHA 172,FALHA 173,FALHA 174,FALHA 175,FALHA 176,FALHA 177,FALHA 178,FALHA 179,FALHA 180,FALHA 181,FALHA 182,FALHA 183,FALHA 184,FALHA 185,FALHA 186,FALHA 187,FALHA 188,FALHA 189,FALHA 190,FALHA 191,FALHA 192,FALHA 193,FALHA 194,FALHA 195,FALHA 196,FALHA 197,FALHA 198,FALHA 199,FALHA 200,FALHA 201,FALHA 202,FALHA 203,FALHA 204,FALHA 205,FALHA 206,FALHA 207,FALHA 208,FALHA 209,FALHA 210,FALHA 211,FALHA 212,FALHA 213,FALHA 214,FALHA 215,FALHA 216,FALHA 217,FALHA 218,FALHA 219,FALHA 220,FALHA 221,FALHA 222,FALHA 223,FALHA 224,FALHA 225,FALHA 226,FALHA 227,FALHA 228,FALHA 229,FALHA 230,FALHA 231,FALHA 232,FALHA 233,FALHA 234,FALHA 235,FALHA 236,FALHA 237,FALHA 238,FALHA 239,FALHA 240,FALHA 241,FALHA 242,FALHA 243,FALHA 244,FALHA 245,FALHA 246,FALHA 247,FALHA 248,FALHA 249,FALHA 250,FALHA 251,FALHA 252,FALHA 253,FALHA 254,FALHA 255,FALHA 256
spring-data-examples,example.springdata.cassandra.basic.BasicUserRepositoryTests,example.springdata.cassandra.basic.BasicUserRepositoryTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-data-examples,example.springdata.cassandra.basic.CassandraOperationsIntegrationTests,example.springdata.cassandra.basic.CassandraOperationsIntegrationTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-data-examples,example.springdata.cassandra.convert.ConversionIntegrationTests,example.springdata.cassandra.convert.ConversionIntegrationTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-data-examples,example.springdata.cassandra.projection.CustomerRepositoryIntegrationTest,example.springdata.cassandra.projection.CustomerRepositoryIntegrationTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-data-examples,example.springdata.cassandra.java8.Java8IntegrationTests,example.springdata.cassandra.java8.Java8IntegrationTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-data-examples,example.springdata.cassandra.java8.Jsr310IntegrationTests,example.springdata.cassandra.java8.Jsr310IntegrationTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-data-examples,example.springdata.redis.cluster.BasicUsageTests,example.springdata.redis.cluster.BasicUsageTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-data-examples,example.springdata.redis.commands.KeyOperationsTests,example.springdata.redis.commands.KeyOperationsTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-data-examples,example.springdata.solr.AdvancedSolrRepositoryTests,example.springdata.solr.AdvancedSolrRepositoryTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-data-examples,example.springdata.solr.BasicSolrRepositoryTests,example.springdata.solr.BasicSolrRepositoryTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
